[26-Feb-2017 21:05:02 Asia/Tokyo] PHP Fatal error:  Cannot use App\Http\Controllers\Auth\user as user because the name is already in use in /home/ubuntu/workspace/findmc/app/Http/Controllers/Auth/AuthController.php on line 10
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP Stack trace:
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/findmc/server.php:0
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/findmc/server.php:21
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/findmc/public/index.php:54
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 21:05:02 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/findmc/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
